#Data tag : 19v3 , Norm tag: None
#run:fill,time,nls,ncms,delivered(1e33/cm2s),recorded(1e33/cm2s)
346169:7515,1635245191,107,0,0.001,0.000
346173:7515,1635247668,151,0,0.002,0.000
346174:7515,1635251189,40,0,0.000,0.000
346234:7515,1635309584,192,0,0.004,0.000
346235:7515,1635315820,166,0,0.003,0.000
346236:7515,1635319683,61,0,0.001,0.000
346237:7515,1635321089,117,0,0.002,0.000
346238:7515,1635323812,88,0,0.001,0.000
346246:7515,1635325852,66,0,0.001,0.000
346247:7515,1635327379,154,0,0.002,0.000
346295:7516,1635371293,8,0,0.000,0.000
346298:7516,1635371478,35,20,0.001,0.000
346299:7516,1635372286,161,142,0.003,0.002
346300:7516,1635376024,15,8,0.000,0.000
346301:7516,1635376372,14,6,0.000,0.000
346302:7516,1635376679,40,17,0.001,0.000
346304:7516,1635377594,402,402,0.005,0.005
346368:7517,1635454007,26,0,0.000,0.000
346373:7517,1635454582,100,84,0.001,0.001
346374:7517,1635456902,45,38,0.001,0.001
346375:7517,1635457951,48,42,0.001,0.001
346377:7517,1635459068,48,41,0.001,0.001
346378:7517,1635460186,44,37,0.001,0.001
346379:7517,1635461192,47,40,0.001,0.001
346380:7517,1635462268,27,23,0.000,0.000
346381:7517,1635462895,16,6,0.000,0.000
346382:7517,1635463257,18,11,0.000,0.000
346383:7517,1635463656,42,36,0.001,0.000
346384:7517,1635464628,40,34,0.000,0.000
346385:7517,1635465550,10,3,0.000,0.000
346386:7517,1635465762,38,31,0.000,0.000
346387:7517,1635466634,19,10,0.000,0.000
346388:7517,1635467061,31,24,0.000,0.000
346389:7517,1635467778,42,42,0.000,0.000
346390:7518,1635471330,40,0,0.001,0.000
346393:7518,1635472242,22,13,0.000,0.000
346394:7518,1635472742,14,6,0.000,0.000
346395:7518,1635473066,73,67,0.002,0.001
346396:7518,1635474758,204,199,0.004,0.004
346398:7518,1635479504,71,71,0.001,0.001
346443:7520,1635540852,8,0,0.000,0.000
346445:7520,1635541026,15,7,0.000,0.000
346446:7520,1635541374,123,77,0.002,0.001
346447:7520,1635544240,223,205,0.003,0.003
346448:7520,1635549424,34,29,0.000,0.000
346449:7520,1635550213,32,21,0.000,0.000
346450:7520,1635550948,356,326,0.004,0.003
346452:7521,1635561939,319,284,0.005,0.005
346453:7521,1635569358,124,79,0.002,0.001
346455:7521,1635572232,280,280,0.003,0.003
346490:7526,1635643418,416,416,0.005,0.005
346491:7527,1635656481,11,0,0.000,0.000
346493:7527,1635656731,12,3,0.000,0.000
346494:7527,1635656990,415,415,0.005,0.005
346506:7531,1635722882,9,0,0.000,0.000
346507:7531,1635723069,56,48,0.001,0.001
346508:7531,1635724373,19,19,0.000,0.000
#Summary:
#nfill,nrun,nls,ncms,totdelivered(1e33/cm2s),totrecorded(1e33/cm2s)
#9,57,5334,3662,0.074,0.047
